Destination,Origin,Route Number
Mario Bros. Circuit,Mario Bros. Circuit,1a
Mario Bros. Circuit,Shy Guy Bazaar,1b
Mario Bros. Circuit,DK Spaceport,2a
Mario Bros. Circuit,Desert Hills,2a
Mario Bros. Circuit,Crown City,2a
Mario Bros. Circuit,Whistlestop Summit,2a
Mario Bros. Circuit,Choco Mountain,2b
Mario Bros. Circuit,Wario Stadium,2b
Mario Bros. Circuit,Toad's Factory,2b
Crown City,Crown City,4
Crown City,Mario Bros. Circuit,1
Crown City,Desert Hills,1
Crown City,Whistlestop Summit,1
Crown City,Wario Stadium,1
Crown City,Faraway Oasis,2a
Crown City,Koopa Troopa Beach,2a
Crown City,DK Spaceport,2b
Crown City,Peach Stadium,3
Crown City,Choco Mountain,3
Crown City,Moo Moo Meadows,3
Whistlestop Summit,Whistlestop Summit,1c
Whistlestop Summit,Crown City,1a
Whistlestop Summit,DK Spaceport,1a
Whistlestop Summit,Desert Hills,1b
Whistlestop Summit,Choco Mountain,1b
Whistlestop Summit,Mario Bros. Circuit,1b
DK Spaceport,DK Spaceport,1a
DK Spaceport,Whistlestop Summit,1b
DK Spaceport,Koopa Troopa Beach,1b
DK Spaceport,Crown City,1b
Desert Hills,Desert Hills,1a
Desert Hills,Shy Guy Bazaar,1b
Desert Hills,DK Spaceport,2
Desert Hills,Whistlestop Summit,2
Desert Hills,Mario Bros. Circuit,2
Desert Hills,Crown City,2
Shy Guy Bazaar,Shy Guy Bazaar,1a
Shy Guy Bazaar,Desert Hills,1b
Shy Guy Bazaar,Mario Bros. Circuit,1b
Shy Guy Bazaar,Choco Mountain,1b
Shy Guy Bazaar,Airship Fortress,2
Shy Guy Bazaar,Wario Stadium,2
Wario Stadium,Wario Stadium,1c
Wario Stadium,Shy Guy Bazaar,1a
Wario Stadium,Crown City,1a
Wario Stadium,Choco Mountain,1a
Wario Stadium,Mario Bros. Circuit,1a
Wario Stadium,Toad's Factory,1b
Wario Stadium,Airship Fortress,1b
Wario Stadium,Bowser's Castle,2
Wario Stadium,Dry Bones Burnout,2
Airship Fortress,Airship Fortress,1c
Airship Fortress,Wario Stadium,1a
Airship Fortress,Bowser's Castle,1a
Airship Fortress,Toad's Factory,1a
Airship Fortress,Dry Bones Burnout,1a
Airship Fortress,Shy Guy Bazaar,1b
DK Pass,DK Pass,1a
DK Pass,Starview Peak,1b
DK Pass,Cheep Cheep Falls,1b
DK Pass,Sky-High Sundae,1b
DK Pass,Dandelion Depths,1b
DK Pass,Moo Moo Meadows,1b
DK Pass,Wario's Galleon,2
DK Pass,Salty Salty Speedway,2
Starview Peak,Starview Peak,1a
Starview Peak,DK Pass,1b
Starview Peak,Sky-High Sundae,1b
Starview Peak,Boo Cinema,1b
Starview Peak,Dandelion Depths,1b
Starview Peak,Mario Circuit,1b
Starview Peak,Cheep Cheep Falls,1b
Starview Peak,Wario's Galleon,1b
Sky-High Sundae,Sky-High Sundae,1a
Sky-High Sundae,Starview Peak,1b
Sky-High Sundae,Wario's Galleon,1b
Sky-High Sundae,Dandelion Depths,1b
Sky-High Sundae,DK Pass,1b
Wario's Galleon,Wario's Galleon,1c
Wario's Galleon,Sky-High Sundae,1a
Wario's Galleon,DK Pass,1a
Wario's Galleon,Starview Peak,1a
Wario's Galleon,Cheep Cheep Falls,1a
Wario's Galleon,Salty Salty Speedway,1a
Wario's Galleon,Peach Beach,1b
Koopa Troopa Beach,Koopa Troopa Beach,1a
Koopa Troopa Beach,Great ? Block Ruins,1b
Koopa Troopa Beach,Dino Dino Jungle,1b
Koopa Troopa Beach,Faraway Oasis,1b
Koopa Troopa Beach,Peach Stadium,1b
Koopa Troopa Beach,Desert Hills,2
Koopa Troopa Beach,Whistlestop Summit,2
Koopa Troopa Beach,Crown City,2
Koopa Troopa Beach,DK Spaceport,2
Faraway Oasis,Faraway Oasis,1c
Faraway Oasis,Koopa Troopa Beach,1a
Faraway Oasis,Crown City,1a
Faraway Oasis,Cheep Cheep Falls,1a
Faraway Oasis,Dino Dino Jungle,1a
Faraway Oasis,Peach Stadium,1a
Faraway Oasis,Great ? Block Ruins,1b
Faraway Oasis,Salty Salty Speedway,1b
Faraway Oasis,Peach Beach,1b
Peach Stadium,Peach Stadium,1c
Peach Stadium,Mario Circuit,1a
Peach Stadium,Moo Moo Meadows,1a
Peach Stadium,Toad's Factory,1a
Peach Stadium,DK Spaceport,1b
Peach Stadium,Koopa Troopa Beach,1b
Peach Stadium,Crown City,2a
Peach Stadium,Choco Mountain,2a
Peach Stadium,Cheep Cheep Falls,2b
Peach Stadium,Faraway Oasis,2b
Peach Beach,Peach Beach,1
Peach Beach,Salty Salty Speedway,2a
Peach Beach,Great ? Block Ruins,2a
Peach Beach,Dino Dino Jungle,2a
Peach Beach,Faraway Oasis,2a
Peach Beach,Wario's Galleon,2b
Salty Salty Speedway,Salty Salty Speedway,1a
Salty Salty Speedway,Peach Beach,1b
Salty Salty Speedway,Dino Dino Jungle,1b
Salty Salty Speedway,Great ? Block Ruins,1b
Salty Salty Speedway,Sky-High Sundae,1c
Salty Salty Speedway,DK Pass,1c
Salty Salty Speedway,Wario's Galleon,1c
Salty Salty Speedway,Cheep Cheep Falls,1d
Salty Salty Speedway,Faraway Oasis,1d
Dino Dino Jungle,Dino Dino Jungle,1a
Dino Dino Jungle,Salty Salty Speedway,1b
Dino Dino Jungle,Peach Beach,1b
Dino Dino Jungle,Great ? Block Ruins,1b
Dino Dino Jungle,Faraway Oasis,1b
Dino Dino Jungle,Koopa Troopa Beach,2
Great ? Block Ruins,Great ? Block Ruins,1a
Great ? Block Ruins,Dino Dino Jungle,1b
Great ? Block Ruins,Faraway Oasis,1b
Great ? Block Ruins,Peach Beach,1b
Great ? Block Ruins,Salty Salty Speedway,1b
Cheep Cheep Falls,Cheep Cheep Falls,1a
Cheep Cheep Falls,Sky-High Sundae,1b
Cheep Cheep Falls,Peach Stadium,1b
Cheep Cheep Falls,Salty Salty Speedway,1b
Cheep Cheep Falls,Faraway Oasis,1b
Cheep Cheep Falls,DK Pass,1b
Cheep Cheep Falls,Choco Mountain,1b
Cheep Cheep Falls,Starview Peak,1b
Cheep Cheep Falls,Moo Moo Meadows,1b
Cheep Cheep Falls,Wario's Galleon,1b
Cheep Cheep Falls,Dandelion Depths,1c
Dandelion Depths,Dandelion Depths,1a
Dandelion Depths,Cheep Cheep Falls,1b
Dandelion Depths,Moo Moo Meadows,1b
Dandelion Depths,Starview Peak,1b
Dandelion Depths,Sky-High Sundae,1b
Dandelion Depths,DK Pass,1b
Dandelion Depths,Mario Circuit,1b
Dandelion Depths,Toad's Factory,1b
Dandelion Depths,Boo Cinema,1b
Dandelion Depths,Acorn Heights,1c
Boo Cinema,Boo Cinema,1a
Boo Cinema,Dandelion Depths,1b
Boo Cinema,Dry Bones Burnout,1b
Boo Cinema,Starview Peak,1b
Boo Cinema,Acorn Heights,1b
Boo Cinema,Mario Circuit,1b
Dry Bones Burnout,Dry Bones Burnout,1a
Dry Bones Burnout,Boo Cinema,1b
Dry Bones Burnout,Acorn Heights,1b
Dry Bones Burnout,Toad's Factory,1c
Dry Bones Burnout,Bowser's Castle,1c
Dry Bones Burnout,Wario Stadium,1c
Dry Bones Burnout,Moo Moo Meadows,1c
Dry Bones Burnout,Mario Circuit,1c
Dry Bones Burnout,Airship Fortress,1d
Moo Moo Meadows,Moo Moo Meadows,1a
Moo Moo Meadows,Choco Mountain,1b
Moo Moo Meadows,Toad's Factory,1b
Moo Moo Meadows,Crown City,1b
Moo Moo Meadows,Mario Circuit,1c
Moo Moo Meadows,Dandelion Depths,1c
Moo Moo Meadows,Dry Bones Burnout,1c
Moo Moo Meadows,DK Pass,1c
Moo Moo Meadows,Peach Stadium,2
Moo Moo Meadows,Cheep Cheep Falls,2
Choco Mountain,Choco Mountain,1a
Choco Mountain,Moo Moo Meadows,1b
Choco Mountain,Peach Stadium,1b
Choco Mountain,Crown City,1b
Choco Mountain,Cheep Cheep Falls,1b
Choco Mountain,Toad's Factory,1c
Choco Mountain,Wario Stadium,1d
Choco Mountain,Mario Bros. Circuit,1d
Choco Mountain,Whistlestop Summit,1d
Choco Mountain,Shy Guy Bazaar,1d
Choco Mountain,Bowser's Castle,1d
Toad's Factory,Toad's Factory,1a
Toad's Factory,Choco Mountain,1b
Toad's Factory,Moo Moo Meadows,1b
Toad's Factory,Mario Bros. Circuit,1b
Toad's Factory,Peach Stadium,1b
Toad's Factory,Mario Circuit,1c
Toad's Factory,Dandelion Depths,1c
Toad's Factory,Bowser's Castle,1d
Toad's Factory,Wario Stadium,1d
Toad's Factory,Airship Fortress,1d
Toad's Factory,Dry Bones Burnout,1d
Toad's Factory,Acorn Heights,1d
Bowser's Castle,Bowser's Castle,1a
Bowser's Castle,Toad's Factory,1b
Bowser's Castle,Dry Bones Burnout,1b
Bowser's Castle,Airship Fortress,1b
Bowser's Castle,Wario Stadium,1b
Bowser's Castle,Choco Mountain,1b
Bowser's Castle,Mario Circuit,1b
Acorn Heights,Acorn Heights,1a
Acorn Heights,Mario Circuit,1b
Acorn Heights,Boo Cinema,1b
Acorn Heights,Dandelion Depths,1b
Acorn Heights,Dry Bones Burnout,1c
Acorn Heights,Toad's Factory,1c
Mario Circuit,Mario Circuit,4
Mario Circuit,Acorn Heights,4
Mario Circuit,Boo Cinema,1
Mario Circuit,Dry Bones Burnout,2
Mario Circuit,Toad's Factory,2
Mario Circuit,Bowser's Castle,2
Mario Circuit,Moo Moo Meadows,3
Mario Circuit,Dandelion Depths,3
Mario Circuit,Starview Peak,3
Rainbow Road,Rainbow Road,1a
Rainbow Road,Peach Stadium,1b
